Alpha,Beta,Evaporation,Q,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA
1.250000,3.000000,0.500000,1.000000,80,1499.000000,3.082145,0.000000,71.428571
1.250000,3.000000,0.600000,0.000000,33,1713.000000,23.238289,0.000000,68.571429
1.250000,3.000000,0.600000,0.250000,35,1499.000000,2.987101,0.000000,71.428571
1.250000,3.000000,0.600000,0.500000,54,1499.000000,3.408011,0.000000,71.428571
1.250000,3.000000,0.600000,0.750000,42,1494.000000,2.247115,0.000000,71.428571
1.250000,3.000000,0.600000,1.000000,87,1499.000000,3.190767,0.000000,74.285714
1.250000,3.000000,0.700000,0.000000,51,1770.000000,25.105227,0.000000,57.142857
1.250000,3.000000,0.700000,0.250000,37,1473.000000,3.116090,10.000000,71.428571
1.250000,3.000000,0.700000,0.500000,70,1499.000000,2.443992,0.000000,71.428571
1.250000,3.000000,0.700000,0.750000,62,1479.000000,2.959946,0.000000,68.571429
1.250000,3.000000,0.700000,1.000000,99,1499.000000,3.251867,0.000000,71.428571
1.250000,3.000000,0.800000,0.000000,25,1726.000000,25.899525,0.000000,60.000000
1.250000,3.000000,0.800000,0.250000,77,1499.000000,2.966735,0.000000,74.285714
1.250000,3.000000,0.800000,0.500000,63,1499.000000,2.647658,0.000000,71.428571
1.250000,3.000000,0.800000,0.750000,74,1499.000000,2.606925,0.000000,71.428571
1.250000,3.000000,0.800000,1.000000,62,1493.000000,3.061779,0.000000,68.571429
1.250000,4.000000,0.500000,0.000000,21,1589.000000,14.358452,0.000000,71.428571
1.250000,4.000000,0.500000,0.250000,58,1499.000000,3.387644,0.000000,71.428571
1.250000,4.000000,0.500000,0.500000,29,1499.000000,2.253904,0.000000,68.571429
1.250000,4.000000,0.500000,0.750000,79,1499.000000,2.810591,0.000000,71.428571
1.250000,4.000000,0.500000,1.000000,80,1499.000000,2.695180,0.000000,71.428571
1.250000,4.000000,0.600000,0.000000,41,1621.000000,15.132383,0.000000,65.714286
1.250000,4.000000,0.600000,0.250000,59,1499.000000,3.550577,0.000000,68.571429
1.250000,4.000000,0.600000,0.500000,45,1499.000000,2.335370,0.000000,71.428571
1.250000,4.000000,0.600000,0.750000,75,1499.000000,3.095723,0.000000,71.428571
1.250000,4.000000,0.600000,1.000000,84,1499.000000,2.797013,0.000000,71.428571
1.250000,4.000000,0.700000,0.000000,84,1601.000000,15.410726,0.000000,62.857143
1.250000,4.000000,0.700000,0.250000,85,1473.000000,1.778683,20.000000,71.428571
1.250000,4.000000,0.700000,0.500000,99,1499.000000,3.170401,0.000000,71.428571
1.250000,4.000000,0.700000,0.750000,98,1499.000000,2.403259,0.000000,71.428571
1.250000,4.000000,0.700000,1.000000,78,1499.000000,3.652410,0.000000,68.571429
1.250000,4.000000,0.800000,0.000000,13,1625.000000,13.543788,0.000000,60.000000
1.250000,4.000000,0.800000,0.250000,88,1499.000000,2.837746,0.000000,71.428571
1.250000,4.000000,0.800000,0.500000,66,1499.000000,3.136456,0.000000,71.428571
1.250000,4.000000,0.800000,0.750000,89,1499.000000,3.340122,0.000000,71.428571
1.250000,4.000000,0.800000,1.000000,90,1479.000000,2.681602,0.000000,68.571429
1.250000,5.000000,0.500000,0.000000,46,1556.000000,10.991174,0.000000,62.857143
1.250000,5.000000,0.500000,0.250000,25,1505.000000,3.699932,0.000000,71.428571
1.250000,5.000000,0.500000,0.500000,65,1499.000000,2.729124,0.000000,68.571429
1.250000,5.000000,0.500000,0.750000,83,1499.000000,3.251867,0.000000,71.428571
1.250000,5.000000,0.500000,1.000000,93,1499.000000,2.776646,0.000000,71.428571
1.250000,5.000000,0.600000,0.000000,94,1610.000000,11.289885,0.000000,62.857143
1.250000,5.000000,0.600000,0.250000,26,1499.000000,4.188730,0.000000,71.428571
1.250000,5.000000,0.600000,0.500000,26,1499.000000,3.150034,0.000000,71.428571
1.250000,5.000000,0.600000,0.750000,96,1499.000000,3.387644,0.000000,71.428571
1.250000,5.000000,0.600000,1.000000,72,1499.000000,3.204345,0.000000,71.428571
1.250000,5.000000,0.700000,0.000000,87,1604.000000,12.131704,0.000000,62.857143
1.250000,5.000000,0.700000,0.250000,87,1499.000000,3.747454,0.000000,71.428571
1.250000,5.000000,0.700000,0.500000,54,1499.000000,3.652410,0.000000,71.428571
1.250000,5.000000,0.700000,0.750000,81,1499.000000,3.557366,0.000000,71.428571
1.250000,5.000000,0.700000,1.000000,47,1499.000000,3.944331,0.000000,68.571429
1.250000,5.000000,0.800000,0.000000,7,1616.000000,11.439240,0.000000,62.857143
1.250000,5.000000,0.800000,0.250000,39,1499.000000,3.156823,0.000000,71.428571
1.250000,5.000000,0.800000,0.500000,36,1499.000000,3.088934,0.000000,71.428571
1.250000,5.000000,0.800000,0.750000,81,1499.000000,3.747454,0.000000,71.428571
1.250000,5.000000,0.800000,1.000000,63,1499.000000,2.932790,0.000000,68.571429
